x_chp_lump_micro	1
x_chp_var_micro	0
x_eeg_levy	0
x_eeg_10	1
x_eeg_40	0
x_eeg_100	0
lim_ch_0_0	1
lim_sell_0_0	1
lim_ch_0_1	1
lim_sell_0_1	1
lim_ch_0_2	1
lim_sell_0_2	1
lim_ch_0_3	1
lim_sell_0_3	1
lim_ch_0_4	1
lim_sell_0_4	1
lim_ch_0_5	1
lim_sell_0_5	1
lim_ch_0_6	0
lim_sell_0_6	0
lim_ch_0_7	1
lim_sell_0_7	1
lim_ch_0_8	1
lim_sell_0_8	1
lim_ch_0_9	1
lim_sell_0_9	1
lim_ch_0_10	1
lim_sell_0_10	1
lim_ch_0_11	1
lim_sell_0_11	1
lim_ch_0_12	1
lim_sell_0_12	1
lim_ch_0_13	1
lim_sell_0_13	1
lim_ch_0_14	1
lim_sell_0_14	1
lim_ch_0_15	1
lim_sell_0_15	1
lim_ch_0_16	0
lim_sell_0_16	0
lim_ch_0_17	1
lim_sell_0_17	1
lim_ch_0_18	0
lim_sell_0_18	0
lim_ch_0_19	0
lim_sell_0_19	0
lim_ch_0_20	0
lim_sell_0_20	0
lim_ch_0_21	0
lim_sell_0_21	0
lim_ch_0_22	0
lim_sell_0_22	0
lim_ch_0_23	1
lim_sell_0_23	1
lim_ch_1_0	0
lim_sell_1_0	0
lim_ch_1_1	0
lim_sell_1_1	0
lim_ch_1_2	0
lim_sell_1_2	0
lim_ch_1_3	0
lim_sell_1_3	0
lim_ch_1_4	0
lim_sell_1_4	0
lim_ch_1_5	0
lim_sell_1_5	0
lim_ch_1_6	0
lim_sell_1_6	0
lim_ch_1_7	0
lim_sell_1_7	0
lim_ch_1_8	1
lim_sell_1_8	1
lim_ch_1_9	1
lim_sell_1_9	1
lim_ch_1_10	1
lim_sell_1_10	1
lim_ch_1_11	1
lim_sell_1_11	1
lim_ch_1_12	1
lim_sell_1_12	1
lim_ch_1_13	1
lim_sell_1_13	1
lim_ch_1_14	1
lim_sell_1_14	1
lim_ch_1_15	1
lim_sell_1_15	1
lim_ch_1_16	0
lim_sell_1_16	0
lim_ch_1_17	0
lim_sell_1_17	0
lim_ch_1_18	0
lim_sell_1_18	0
lim_ch_1_19	0
lim_sell_1_19	0
lim_ch_1_20	0
lim_sell_1_20	0
lim_ch_1_21	0
lim_sell_1_21	0
